"EndDate","Symbol","EPInvest"
"2018-12-31","600063","9301.4900"
"2013-12-31","600068","29145.0000"
"2015-12-31","600068","24630.0000"
"2016-12-31","600068","204800.0000"
"2018-12-31","600068","811100.0000"
"2019-12-31","600068","104900.0000"
"2010-12-31","600070","918.2900"
"2011-12-31","600070","929.1300"
"2012-12-31","600070","990.0400"
"2013-12-31","600070","1334.9000"
"2016-12-31","600070","1269.6000"
"2018-12-31","600070","1358.6900"
"2019-12-31","600070","1349.7800"
"2016-12-31","600075","4056.8900"
"2017-12-31","600075","8526.0000"
"2018-12-31","600075","9924.5500"
"2020-12-31","600079","2400.0000"
"2009-12-31","600085","1258.5300"
"2013-12-31","600089","4000.0000"
"2018-12-31","600089","34800.0000"
"2014-12-31","600096","10499.0000"
"2016-12-31","600096","26569.8500"
"2017-12-31","600096","14503.0000"
"2018-12-31","600096","24788.0000"
"2015-12-31","600098","30000.0000"
"2020-12-31","600099","19.5204"
"2020-12-31","600115","64000.0000"
"2014-12-31","600117","5900.0000"
"2015-12-31","600117","2941.0000"
"2015-12-31","600121","364.1200"
"2008-12-31","600123","9777.0000"
"2009-12-31","600123","3775.6900"
"2010-12-31","600123","3240.0000"
"2011-12-31","600123","4943.0000"
"2012-12-31","600123","5767.0000"
"2014-12-31","600123","3448.0000"
"2016-12-31","600123","3893.0000"
"2017-12-31","600123","7253.5500"
"2016-12-31","600135","760.0000"
"2018-12-31","600135","487.0000"
"2016-12-31","600141","14826.2800"
"2017-12-31","600141","39232.0000"
"2018-12-31","600141","47155.0000"
"2019-12-31","600141","61827.1300"
"2021-12-31","600141","34000.0000"
"2016-12-31","600143","4113.6400"
"2017-12-31","600143","3943.8100"
"2018-12-31","600143","3861.9300"
"2019-12-31","600143","2574.1900"
"2012-12-31","600160","6961.0000"
"2013-12-31","600160","14199.0000"
"2016-12-31","600160","7420.0000"
"2017-12-31","600160","1300.0000"
"2019-12-31","600160","3000.0000"
"2019-12-31","600165","3830.4600"
"2010-12-31","600166","1300.0000"
"2015-12-31","600166","16000.0000"
"2016-12-31","600166","1059.0000"
"2017-12-31","600166","43407.0000"
"2020-12-31","600166","1182.2700"
"2015-12-31","600183","230.0000"
"2017-12-31","600183","765.0000"
